rating,title,text,verified_purchase,quality_complaint
5,works great,product works great,TRUE,0
3,three stars,don't pair with echo voice control remote ok,TRUE,0
3,works great in the hallway,works great in the hallway but my outlets required i use some nails to balance the bottom due to weight,TRUE,0
3,three stars,they work but the shipping was really slow,TRUE,0
2,only one card out of a 2 pack is reliable,bought a two pack 64gb each put them both in my canon r7 and card 2 wasn't recognized i switched them and now card 1 isn't recognized formatted both in camera same results formatted the bad card in the pc took a while to get it recognized during my shooting everything was fine recorded videos to the iffy card and photos duplicated to both cards later my camera reported i had only photos no videos because card 2 went offline rebooted the camera a couple of times reseated card etc and eventually they showed again took a couple of attempts to download the videos but i eventually got them no problems with the sandisk v30 that i had used before i shouldn't have used brand new cards for an important event that was dumb but my v30 cards weren't quite fast enough i recognized ritz camera and gave them the benefit of the doubt but i'm disappointed,TRUE,0
5,need longer,sir br need 8 ft or 10 ft,TRUE,0
2,not reliable poor customer service,its difficult to give a good review after sitting on hold for customer service for an hour to get a replacement cord and still not getting any help easier to just return to amazon and buy another brand br screen was purchased for a work trip its light weight the color is a little off but it was inexpensive the cord that came with it is defective and very temperamental when i first tested the product before my trip it worked great one plane ride in my carryon and now it no longer works now im halfway around the world sitting on hold listening to a horrible marketing loop after an hour i got nowhere and had to hang up to go to a meeting also their customer support site is down for the whole month of september so i am stuck waiting on hold,TRUE,1
1,only works with paid subscription,requires a paid subscription to record video rip off,TRUE,0
5,much improved quality i've tried others,this item has a higher level of quality than similar units on the market it is slightly larger even though the cost is only slightly more i would seriously recommend this product thank you,TRUE,0
5,sound quality,this is by far one of the best pa speakers on the market this is a must have product,TRUE,0
3,loose cord,did not fit well the jack end was loose and would fall out if you moved it,TRUE,1
5,perfect fit,functions as described quick shipping and arrival very pleased with the purchase,TRUE,0
1,not for car's auxiliary port,i wanted to use it for my car's auxiliary port while charging but won't play might work for headphones but i didn't try that,TRUE,1
3,doesn't always work,frequently disconnects works about 70 of the time would not recommend,FALSE,1
1,inaccurate bases disappointing,i have ordered this product after reading the reviews product received with one day delay and the two base stands are different from one and other by looking at the pictures on the related products i figured it out that i have received one vivo base and one wali base one fits straight and the other was bit angled so the junctions plate did not fit in very disappointing,TRUE,1
3,headband broke right after warranty expired,the headband broke right after we could no longer return it,TRUE,1
1,promising but died within three months,really wanted to like this laptop bought it for its gaming abilities shuts off and won't turn back on it did this twice in the first month and now it has shut off and won't power on even with work arounds sending it back to asus as it is under warranty will see what happens very disappointed and won't recommend another asus to anyone,TRUE,0
5,great case along with customer service,very nice cover the customer service is awesome very satisfied with my purchase,TRUE,0
1,broke after a month,after only a month if use it already broke only one side is charging now lesson learned never go cheap on tech stuff,TRUE,1
2,get what you pay for,the product came exactly as described but in comparison to an old walkman i bought off ebay for 5 dollars more the quality is lacking its works plays tapes just fine fast forward works but the sound quality is very bad from the speaker or any headphones i tried it sounded horrible so honestly i recommend you go look on ebay for a cassette player from before the year 1999 if you really want to enjoy cassettes,TRUE,0
1,awful,website been down for three days and after one day of use the batteries are dead horrible picture returning,FALSE,1
